v,p
15.81581582,356
15.84084084,358
15.86586587,359
15.89089089,361
15.91591592,362
15.94094094,364
15.96596597,365
15.99099099,366
16.01601602,368
16.04104104,369
16.06606607,371
16.09109109,372
16.11611612,374
16.14114114,375
16.16616617,377
16.19119119,378
16.21621622,380
16.24124124,381
16.26626627,383
16.29129129,384
16.31631632,386
16.34134134,387
16.36636637,389
16.39139139,390
16.41641642,392
16.44144144,393
16.46646647,395
16.49149149,396
16.51651652,398
16.54154154,400
16.56656657,401
16.59159159,403
16.61661662,404
16.64164164,406
16.66666667,407
16.69169169,409
16.71671672,411
16.74174174,412
16.76676677,414
16.79179179,415
16.81681682,417
16.84184184,419
16.86686687,420
16.89189189,422
16.91691692,423
16.94194194,425
16.96696697,427
16.99199199,428
17.01701702,430
17.04204204,432
17.06706707,433
17.09209209,435
17.11711712,436
17.14214214,438
17.16716717,440
17.19219219,441
17.21721722,443
17.24224224,445
17.26726727,446
17.29229229,448
17.31731732,450
17.34234234,452
17.36736737,453
17.39239239,455
17.41741742,457
17.44244244,458
17.46746747,460
17.49249249,462
17.51751752,463
17.54254254,465
17.56756757,467
17.59259259,469
17.61761762,470
17.64264264,472
17.66766767,474
17.69269269,476
17.71771772,477
17.74274274,479
17.76776777,481
17.79279279,483
17.81781782,485
17.84284284,486
17.86786787,488
17.89289289,490
17.91791792,492
17.94294294,494
17.96796797,495
17.99299299,497
18.01801802,499
18.04304304,501
18.06806807,503
18.09309309,504
18.11811812,506
18.14314314,508
18.16816817,510
18.19319319,512
18.21821822,514
18.24324324,515
18.26826827,517
18.29329329,519
18.31831832,521
18.34334334,523
18.36836837,525
18.39339339,527
18.41841842,529
18.44344344,531
18.46846847,532
18.49349349,534
18.51851852,536
18.54354354,538
18.56856857,540
18.59359359,542
18.61861862,544
18.64364364,546
18.66866867,548
18.69369369,550
18.71871872,552
18.74374374,554
18.76876877,556
18.79379379,558
18.81881882,560
18.84384384,562
18.86886887,564
18.89389389,566
18.91891892,568
18.94394394,570
18.96896897,571
18.99399399,574
19.01901902,576
19.04404404,578
19.06906907,580
19.09409409,582
19.11911912,584
19.14414414,586
19.16916917,588
19.19419419,590
19.21921922,592
19.24424424,594
19.26926927,596
19.29429429,598
19.31931932,600
19.34434434,602
19.36936937,604
19.39439439,606
19.41941942,608
19.44444444,610
19.46946947,613
19.49449449,615
19.51951952,617
19.54454454,619
19.56956957,621
19.59459459,623
19.61961962,625
19.64464464,627
19.66966967,630
19.69469469,632
19.71971972,634
19.74474474,636
19.76976977,638
19.79479479,640
19.81981982,642
19.84484484,645
19.86986987,647
19.89489489,649
19.91991992,651
19.94494494,653
19.96996997,656
19.99499499,658
20.02002002,660
20.04504505,662
20.07007007,664
20.0950951,667
20.12012012,669
20.14514515,671
20.17017017,673
20.1951952,676
20.22022022,678
20.24524525,680
20.27027027,682
20.2952953,685
20.32032032,687
20.34534535,689
20.37037037,692
20.3953954,694
20.42042042,696
20.44544545,698
20.47047047,701
20.4954955,703
20.52052052,705
20.54554555,708
20.57057057,710
20.5955956,712
20.62062062,715
20.64564565,717
20.67067067,719
20.6956957,722
20.72072072,724
20.74574575,726
20.77077077,729
20.7957958,731
20.82082082,734
20.84584585,736
20.87087087,738
20.8958959,741
20.92092092,743
20.94594595,746
20.97097097,748
20.995996,750
21.02102102,753
21.04604605,755
21.07107107,758
21.0960961,760
21.12112112,763
21.14614615,765
21.17117117,768
21.1961962,770
21.22122122,772
21.24624625,775
21.27127127,777
21.2962963,780
21.32132132,782
21.34634635,785
21.37137137,787
21.3963964,790
21.42142142,792
21.44644645,795
21.47147147,797
21.4964965,800
21.52152152,803
21.54654655,805
21.57157157,808
21.5965966,810
21.62162162,813
21.64664665,815
21.67167167,818
21.6966967,820
21.72172172,823
21.74674675,826
21.77177177,828
21.7967968,831
21.82182182,833
21.84684685,836
21.87187187,839
21.8968969,841
21.92192192,844
21.94694695,847
21.97197197,849
21.996997,852
22.02202202,854
22.04704705,857
22.07207207,860
22.0970971,862
22.12212212,865
22.14714715,868
22.17217217,870
22.1971972,873
22.22222222,876
22.24724725,879
22.27227227,881
22.2972973,884
22.32232232,887
22.34734735,889
22.37237237,892
22.3973974,895
22.42242242,898
22.44744745,900
22.47247247,903
22.4974975,906
22.52252252,909
22.54754755,911
22.57257257,914
22.5975976,917
22.62262262,920
22.64764765,923
22.67267267,925
22.6976977,928
22.72272272,931
22.74774775,934
22.77277277,937
22.7977978,939
22.82282282,942
22.84784785,945
22.87287287,948
22.8978979,951
22.92292292,954
22.94794795,957
22.97297297,959
22.997998,962
23.02302302,965
23.04804805,968
23.07307307,971
23.0980981,974
23.12312312,977
23.14814815,980
23.17317317,983
23.1981982,986
23.22322322,988
23.24824825,991
23.27327327,994
23.2982983,997
23.32332332,1000
23.34834835,1003
23.37337337,1006
23.3983984,1009
23.42342342,1012
23.44844845,1015
23.47347347,1018
23.4984985,1021
23.52352352,1024
23.54854855,1027
23.57357357,1030
23.5985986,1033
23.62362362,1036
23.64864865,1039
23.67367367,1042
23.6986987,1045
23.72372372,1048
23.74874875,1051
23.77377377,1055
23.7987988,1058
23.82382382,1061
23.84884885,1064
23.87387387,1067
23.8988989,1070
23.92392392,1073
23.94894895,1076
23.97397397,1079
23.998999,1082
24.02402402,1086
24.04904905,1089
24.07407407,1092
24.0990991,1095
24.12412412,1098
24.14914915,1101
24.17417417,1104
24.1991992,1108
24.22422422,1111
24.24924925,1114
24.27427427,1117
24.2992993,1120
24.32432432,1124
24.34934935,1127
24.37437437,1130
24.3993994,1133
24.42442442,1136
24.44944945,1140
24.47447447,1143
24.4994995,1146
24.52452452,1149
24.54954955,1153
24.57457457,1156
24.5995996,1159
24.62462462,1163
24.64964965,1166
24.67467467,1169
24.6996997,1172
24.72472472,1176
24.74974975,1179
24.77477477,1182
24.7997998,1186
24.82482482,1189
24.84984985,1192
24.87487487,1196
24.8998999,1199
24.92492492,1202
24.94994995,1206
24.97497497,1209
25,1213
